name,city_or_area,email,phone,website,source_note,status,notes
Ignite Entrance Coaching,Thrissur,ignitethrissur@gmail.com,+917559022666,https://www.ignitethrissur.in/,"Public contact section",not_contacted,
Alps Academy,Malappuram,,,https://www.alpsacademy.in/,"Public site found; email not visible in snippet",needs_email,
Champions Eduhub,Kerala,championseduhub@gmail.com,+917356129018,https://championseduhub.in/,"Public contact section",not_contacted,
Professors Classes,Thrissur,professorsclassesthrissur@gmail.com,+919400477777,https://www.zipleaf.in/GoToWebsite/69111,"Public listing/contact page",not_contacted,
Professors Classes,Thrissur,info@professorsclasses.com,+918137076500,https://www.zipleaf.in/GoToWebsite/69111,"Public listing/contact page",not_contacted,
Science Institute,Malappuram,info@scienceinstitute.in,+919072100500,https://www.scienceinstitute.in/contact,"Public contact page",not_contacted,
Grace Academy,Thrissur,graceacademytcr7@gmail.com,+919947589130,https://www.graceacademytcr.in/,"Public contact section",not_contacted,
Global English Training,Thiruvananthapuram,globalenglishtvm@gmail.com,+918848766843,https://www.globalenglishtraining.org/math.php,"Public contact section",not_contacted,
Focus Tuition Centre,Thonnakkal,focusthonnakkal@gmail.com,+918606813409,https://www.focusthonnakkal.com/contact.html,"Public contact page",not_contacted,
Malabar Entrance Coaching Centre,Kodungallur,info@malabarecc.com,+918606066435,https://www.mcalindia.com/,"Public contact page",not_contacted,
Malabar Entrance Coaching Centre,Kodungallur,malabarkdlr@gmail.com,+917592009600,https://www.mcalindia.com/,"Public contact page",not_contacted,
BTech Tutor,Kerala,help.btechtutorkerala@gmail.com,+919895006772,https://btechtutor.com/,"Public contact page",not_contacted,
Catalyst Kerala,Kozhikode,catalystkerala@gmail.com,,https://wa.me/catalystkerala,"Public WhatsApp business page",not_contacted,
Edublitz Learning,Kozhikode,edublitzlearning@gmail.com,+917306380365,https://play.google.com/store/apps/details?id=com.edublitz.app,"Public Play Store developer contact",not_contacted,
ILM Campus,Kozhikode,ilmcampusofficial@gmail.com,+919072010806,https://ilmcampus.in/,"Public contact section",not_contacted,
Levelup Group,Kannur/Kozhikode,levelup.hmrl@gmail.com,+917558936612,https://levelupgroup.in/,"Public contact section",not_contacted,
Aakash Institute Malappuram,Malappuram,care@aesl.in,+918800706292,https://centers.aakash.ac.in/aakash-institute-mallapuram-coaching-center-ernad-malappuram-99237/Contact-Us,"Public center contact page",not_contacted,
Aakash Institute Kannur,Kannur,care@aesl.in,+918800901667,https://centers.aakash.ac.in/aakash-institute-kannur-coaching-center-tavakara-kannur-132897/Contact-Us,"Public center contact page",not_contacted,
Excel Coaching Center,Kozhikode,mansoornk78@gmail.com,+919526432182,https://excel-coaching-center.ueniweb.com/,"Public contact page",not_contacted,
Learnfidence,Kerala,teamlearnfidence@gmail.com,+916235888405,https://learnfidence.com/tag/individual-coaching-in-kerala/,"Public blog/contact snippet",not_contacted,
Global Academy,Kochi,info@globalacademy.org.in,+919400138222,https://globalacademy.org.in/,"Public contact section",not_contacted,
E Square Academy,Thiruvananthapuram,esquareinstitution@gmail.com,+916282121108,https://esquareacademy.in/,"Duplicate check before send",duplicate_check,
BBC International Institution,North Paravur,,,https://bbcinternationalparavur.com/best-tuition-centre-north-paravur-kerala/,"Public site found; contact form visible but email not found",needs_email,
Ladder Education,Kerala,,,https://www.learnwithladder.com/,"Public site found; email not visible in snippet",needs_email,
Crescent Learning,Kerala,,,https://crescentlearning.org/,"Public site found; email not visible in snippet",needs_email,
One Zero Tuition + Entrance,Payyanur,,,https://onezeropayyanur.com/,"Public site found; email not visible in snippet",needs_email,
Bijis Tuitions Online,Thrissur,,,https://bijistuitionsonline.com/contact-us/,"Public site found; contact form visible but email not found",needs_email,
Brilliance Academy,Kozhikode,,,https://brillianceacademy.in/,"Public site found; email not visible in snippet",needs_email,
CODE Edu,Kozhikode,,,https://codeedu.in/,"Public site found; email not visible in snippet",needs_email,
Kerala NEET Academy,Kerala,,,https://keralaneetacademy.in/,"Public site found; email not visible in snippet",needs_email,
Chrysalis Academy,Kerala,,,https://www.chrysalisacademy.in/contact-us/,"Public site found; email not visible in snippet",needs_email,
Siyon Group,Thrissur,siyontcr@gmail.com,+919446411547,https://siyon.in/,"Duplicate check before send",duplicate_check
